section,DataSetId,JourmPatternSections_From_id,JourmPatternSections_From_StopPointRef_id,JourmPatternSections_From_StopPointRef_SequenceNumber,JourmPatternSections_From_StopPointRef,JourmPatternSections_From_TimingStatus_id,JourmPatternSections_From_TimingStatus_SequenceNumber,JourmPatternSections_From_TimingStatus,JourmPatternSections_To_id,JourmPatternSections_To_StopPointRef_id,JourmPatternSections_To_StopPointRef_SequenceNumber,JourmPatternSections_To_StopPointRef,JourmPatternSections_To_TimingStatus_id,JourmPatternSections_To_TimingStatus_SequenceNumber,JourmPatternSections_To_TimingStatus,JourmPatternSections_RouteLinkRef_id,JourmPatternSections_RouteLinkRef,JourmPatternSections_RunTime_id,JourmPatternSections_RunTime
JPS33,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1097,JPSU2193,25,3529,JPSU2193,25,OTH,JPTL1097,JPSU2194,26,3243,JPSU2194,26,OTH,JPTL1097,RL943,JPTL1097,PT0S
JPS33,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1098,JPSU2195,26,3243,JPSU2195,26,OTH,JPTL1098,JPSU2196,27,2796,JPSU2196,27,OTH,JPTL1098,RL944,JPTL1098,PT1M
JPS33,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1099,JPSU2197,27,2796,JPSU2197,27,OTH,JPTL1099,JPSU2198,28,3956,JPSU2198,28,PTP,JPTL1099,RL945,JPTL1099,PT1M
JPS33,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1100,JPSU2199,28,3956,JPSU2199,28,PTP,JPTL1100,JPSU2200,29,3272,JPSU2200,29,OTH,JPTL1100,RL946,JPTL1100,PT1M
JPS33,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1101,JPSU2201,29,3272,JPSU2201,29,OTH,JPTL1101,JPSU2202,30,2525,JPSU2202,30,OTH,JPTL1101,RL947,JPTL1101,PT1M
JPS33,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1102,JPSU2203,30,2525,JPSU2203,30,OTH,JPTL1102,JPSU2204,31,2734,JPSU2204,31,OTH,JPTL1102,RL948,JPTL1102,PT0S
JPS33,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1103,JPSU2205,31,2734,JPSU2205,31,OTH,JPTL1103,JPSU2206,32,3729,JPSU2206,32,OTH,JPTL1103,RL949,JPTL1103,PT1M
JPS33,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1104,JPSU2207,32,3729,JPSU2207,32,OTH,JPTL1104,JPSU2208,33,2465,JPSU2208,33,PTP,JPTL1104,RL950,JPTL1104,PT5M
JPS34,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1105,JPSU2209,5,2348,JPSU2209,5,PTP,JPTL1105,JPSU2210,15,3787,JPSU2210,15,PTP,JPTL1105,RL951,JPTL1105,PT9M
JPS34,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1106,JPSU2211,15,3787,JPSU2211,15,PTP,JPTL1106,JPSU2212,16,3676,JPSU2212,16,OTH,JPTL1106,RL952,JPTL1106,PT1M
JPS34,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1107,JPSU2213,16,3676,JPSU2213,16,OTH,JPTL1107,JPSU2214,17,2783,JPSU2214,17,OTH,JPTL1107,RL953,JPTL1107,PT0S
JPS34,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1108,JPSU2215,17,2783,JPSU2215,17,OTH,JPTL1108,JPSU2216,18,3569,JPSU2216,18,OTH,JPTL1108,RL954,JPTL1108,PT1M
JPS34,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1109,JPSU2217,18,3569,JPSU2217,18,OTH,JPTL1109,JPSU2218,19,3295,JPSU2218,19,OTH,JPTL1109,RL955,JPTL1109,PT0S
JPS34,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1110,JPSU2219,19,3295,JPSU2219,19,OTH,JPTL1110,JPSU2220,20,3434,JPSU2220,20,PTP,JPTL1110,RL956,JPTL1110,PT1M
JPS34,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1111,JPSU2221,20,3434,JPSU2221,20,PTP,JPTL1111,JPSU2222,21,2583,JPSU2222,21,OTH,JPTL1111,RL957,JPTL1111,PT1M
JPS34,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1112,JPSU2223,21,2583,JPSU2223,21,OTH,JPTL1112,JPSU2224,22,2978,JPSU2224,22,OTH,JPTL1112,RL958,JPTL1112,PT1M
JPS34,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1113,JPSU2225,22,2978,JPSU2225,22,OTH,JPTL1113,JPSU2226,23,2635,JPSU2226,23,PTP,JPTL1113,RL959,JPTL1113,PT1M
JPS34,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1114,JPSU2227,23,2635,JPSU2227,23,PTP,JPTL1114,JPSU2228,24,3267,JPSU2228,24,OTH,JPTL1114,RL960,JPTL1114,PT0S
JPS34,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1115,JPSU2229,24,3267,JPSU2229,24,OTH,JPTL1115,JPSU2230,25,3529,JPSU2230,25,OTH,JPTL1115,RL961,JPTL1115,PT1M
JPS34,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1116,JPSU2231,25,3529,JPSU2231,25,OTH,JPTL1116,JPSU2232,26,3243,JPSU2232,26,OTH,JPTL1116,RL962,JPTL1116,PT1M
JPS34,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1117,JPSU2233,26,3243,JPSU2233,26,OTH,JPTL1117,JPSU2234,27,2796,JPSU2234,27,OTH,JPTL1117,RL963,JPTL1117,PT0S
JPS34,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1118,JPSU2235,27,2796,JPSU2235,27,OTH,JPTL1118,JPSU2236,28,3956,JPSU2236,28,PTP,JPTL1118,RL964,JPTL1118,PT1M
JPS34,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1119,JPSU2237,28,3956,JPSU2237,28,PTP,JPTL1119,JPSU2238,29,3272,JPSU2238,29,OTH,JPTL1119,RL965,JPTL1119,PT2M
JPS34,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1120,JPSU2239,29,3272,JPSU2239,29,OTH,JPTL1120,JPSU2240,30,2525,JPSU2240,30,OTH,JPTL1120,RL966,JPTL1120,PT1M
JPS34,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1121,JPSU2241,30,2525,JPSU2241,30,OTH,JPTL1121,JPSU2242,31,2734,JPSU2242,31,OTH,JPTL1121,RL967,JPTL1121,PT1M
JPS34,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1122,JPSU2243,31,2734,JPSU2243,31,OTH,JPTL1122,JPSU2244,32,3729,JPSU2244,32,OTH,JPTL1122,RL968,JPTL1122,PT0S
JPS34,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1123,JPSU2245,32,3729,JPSU2245,32,OTH,JPTL1123,JPSU2246,33,2465,JPSU2246,33,PTP,JPTL1123,RL969,JPTL1123,PT3M
JPS35,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1124,JPSU2247,1,2434,JPSU2247,1,PTP,JPTL1124,JPSU2248,2,4296,JPSU2248,2,PTP,JPTL1124,RL970,JPTL1124,PT2M
JPS35,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1125,JPSU2249,2,4296,JPSU2249,2,PTP,JPTL1125,JPSU2250,3,4294,JPSU2250,3,OTH,JPTL1125,RL971,JPTL1125,PT2M
JPS35,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1126,JPSU2251,3,4294,JPSU2251,3,OTH,JPTL1126,JPSU2252,4,4295,JPSU2252,4,PTP,JPTL1126,RL972,JPTL1126,PT0S
JPS35,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1127,JPSU2253,4,4295,JPSU2253,4,PTP,JPTL1127,JPSU2254,5,4562,JPSU2254,5,OTH,JPTL1127,RL973,JPTL1127,PT1M
JPS35,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1128,JPSU2255,5,4562,JPSU2255,5,OTH,JPTL1128,JPSU2256,6,2452,JPSU2256,6,OTH,JPTL1128,RL974,JPTL1128,PT1M
JPS35,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1129,JPSU2257,6,2452,JPSU2257,6,OTH,JPTL1129,JPSU2258,7,2439,JPSU2258,7,PTP,JPTL1129,RL975,JPTL1129,PT4M
JPS35,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1130,JPSU2259,7,2439,JPSU2259,7,PTP,JPTL1130,JPSU2260,8,4257,JPSU2260,8,OTH,JPTL1130,RL976,JPTL1130,PT4M
JPS35,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1131,JPSU2261,8,4257,JPSU2261,8,OTH,JPTL1131,JPSU2262,9,3927,JPSU2262,9,PTP,JPTL1131,RL977,JPTL1131,PT2M
JPS35,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1132,JPSU2263,9,3927,JPSU2263,9,PTP,JPTL1132,JPSU2264,10,2787,JPSU2264,10,OTH,JPTL1132,RL978,JPTL1132,PT1M
JPS35,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1133,JPSU2265,10,2787,JPSU2265,10,OTH,JPTL1133,JPSU2266,11,4358,JPSU2266,11,OTH,JPTL1133,RL979,JPTL1133,PT0S
JPS35,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1134,JPSU2267,11,4358,JPSU2267,11,OTH,JPTL1134,JPSU2268,12,3935,JPSU2268,12,OTH,JPTL1134,RL980,JPTL1134,PT0S
JPS35,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1135,JPSU2269,12,3935,JPSU2269,12,OTH,JPTL1135,JPSU2270,13,2983,JPSU2270,13,OTH,JPTL1135,RL981,JPTL1135,PT1M
JPS35,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1136,JPSU2271,13,2983,JPSU2271,13,OTH,JPTL1136,JPSU2272,14,2845,JPSU2272,14,OTH,JPTL1136,RL982,JPTL1136,PT0S
JPS35,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1137,JPSU2273,14,2845,JPSU2273,14,OTH,JPTL1137,JPSU2274,15,2958,JPSU2274,15,OTH,JPTL1137,RL983,JPTL1137,PT0S
JPS35,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1138,JPSU2275,15,2958,JPSU2275,15,OTH,JPTL1138,JPSU2276,16,3232,JPSU2276,16,PTP,JPTL1138,RL984,JPTL1138,PT1M
JPS35,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1139,JPSU2277,16,3232,JPSU2277,16,PTP,JPTL1139,JPSU2278,17,3749,JPSU2278,17,OTH,JPTL1139,RL985,JPTL1139,PT1M
JPS35,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1140,JPSU2279,17,3749,JPSU2279,17,OTH,JPTL1140,JPSU2280,18,3259,JPSU2280,18,OTH,JPTL1140,RL986,JPTL1140,PT0S
JPS35,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1141,JPSU2281,18,3259,JPSU2281,18,OTH,JPTL1141,JPSU2282,19,3845,JPSU2282,19,OTH,JPTL1141,RL987,JPTL1141,PT1M
JPS35,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1142,JPSU2283,19,3845,JPSU2283,19,OTH,JPTL1142,JPSU2284,20,2593,JPSU2284,20,OTH,JPTL1142,RL988,JPTL1142,PT1M
JPS35,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1143,JPSU2285,20,2593,JPSU2285,20,OTH,JPTL1143,JPSU2286,21,3759,JPSU2286,21,OTH,JPTL1143,RL989,JPTL1143,PT1M
JPS35,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1144,JPSU2287,21,3759,JPSU2287,21,OTH,JPTL1144,JPSU2288,22,3932,JPSU2288,22,PTP,JPTL1144,RL990,JPTL1144,PT2M
JPS35,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1145,JPSU2289,22,3932,JPSU2289,22,PTP,JPTL1145,JPSU2290,31,3947,JPSU2290,31,OTH,JPTL1145,RL991,JPTL1145,PT1M
JPS35,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1146,JPSU2291,31,3947,JPSU2291,31,OTH,JPTL1146,JPSU2292,32,2543,JPSU2292,32,PTP,JPTL1146,RL992,JPTL1146,PT2M
JPS35,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1147,JPSU2293,32,2543,JPSU2293,32,PTP,JPTL1147,JPSU2294,33,3895,JPSU2294,33,OTH,JPTL1147,RL993,JPTL1147,PT2M
JPS35,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1148,JPSU2295,33,3895,JPSU2295,33,OTH,JPTL1148,JPSU2296,34,3472,JPSU2296,34,OTH,JPTL1148,RL994,JPTL1148,PT2M
JPS35,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1149,JPSU2297,34,3472,JPSU2297,34,OTH,JPTL1149,JPSU2298,35,2465,JPSU2298,35,PTP,JPTL1149,RL995,JPTL1149,PT5M
JPS36,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1150,JPSU2299,6,2736,JPSU2299,6,PTP,JPTL1150,JPSU2300,12,3543,JPSU2300,12,PTP,JPTL1150,RL996,JPTL1150,PT3M
JPS36,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1151,JPSU2301,12,3543,JPSU2301,12,PTP,JPTL1151,JPSU2302,13,3432,JPSU2302,13,OTH,JPTL1151,RL997,JPTL1151,PT0S
JPS36,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1152,JPSU2303,13,3432,JPSU2303,13,OTH,JPTL1152,JPSU2304,14,3826,JPSU2304,14,PTP,JPTL1152,RL998,JPTL1152,PT2M
JPS36,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1153,JPSU2305,14,3826,JPSU2305,14,PTP,JPTL1153,JPSU2306,15,2878,JPSU2306,15,OTH,JPTL1153,RL999,JPTL1153,PT0S
JPS36,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1154,JPSU2307,15,2878,JPSU2307,15,OTH,JPTL1154,JPSU2308,16,3673,JPSU2308,16,OTH,JPTL1154,RL1000,JPTL1154,PT1M
JPS36,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1155,JPSU2309,16,3673,JPSU2309,16,OTH,JPTL1155,JPSU2310,17,2927,JPSU2310,17,OTH,JPTL1155,RL1001,JPTL1155,PT0S
JPS36,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1156,JPSU2311,17,2927,JPSU2311,17,OTH,JPTL1156,JPSU2312,18,2859,JPSU2312,18,PTP,JPTL1156,RL1002,JPTL1156,PT1M
JPS36,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1157,JPSU2313,18,2859,JPSU2313,18,PTP,JPTL1157,JPSU2314,19,3475,JPSU2314,19,OTH,JPTL1157,RL1003,JPTL1157,PT1M
JPS36,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1158,JPSU2315,19,3475,JPSU2315,19,OTH,JPTL1158,JPSU2316,20,2562,JPSU2316,20,OTH,JPTL1158,RL1004,JPTL1158,PT0S
JPS36,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1159,JPSU2317,20,2562,JPSU2317,20,OTH,JPTL1159,JPSU2318,21,3879,JPSU2318,21,OTH,JPTL1159,RL1005,JPTL1159,PT1M
JPS36,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1160,JPSU2319,21,3879,JPSU2319,21,OTH,JPTL1160,JPSU2320,22,3835,JPSU2320,22,PTP,JPTL1160,RL1006,JPTL1160,PT1M
JPS36,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1161,JPSU2321,22,3835,JPSU2321,22,PTP,JPTL1161,JPSU2322,23,3486,JPSU2322,23,OTH,JPTL1161,RL1007,JPTL1161,PT0S
JPS36,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1162,JPSU2323,23,3486,JPSU2323,23,OTH,JPTL1162,JPSU2324,24,3828,JPSU2324,24,OTH,JPTL1162,RL1008,JPTL1162,PT1M
JPS36,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1163,JPSU2325,24,3828,JPSU2325,24,OTH,JPTL1163,JPSU2326,25,3874,JPSU2326,25,OTH,JPTL1163,RL1009,JPTL1163,PT0S
JPS36,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1164,JPSU2327,25,3874,JPSU2327,25,OTH,JPTL1164,JPSU2328,26,4359,JPSU2328,26,OTH,JPTL1164,RL1010,JPTL1164,PT1M
JPS36,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1165,JPSU2329,26,4359,JPSU2329,26,OTH,JPTL1165,JPSU2330,27,2464,JPSU2330,27,PTP,JPTL1165,RL1011,JPTL1165,PT1M
JPS36,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1166,JPSU2331,27,2464,JPSU2331,27,PTP,JPTL1166,JPSU2332,28,2565,JPSU2332,28,OTH,JPTL1166,RL1012,JPTL1166,PT0S
JPS36,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1167,JPSU2333,28,2565,JPSU2333,28,OTH,JPTL1167,JPSU2334,29,3438,JPSU2334,29,PTP,JPTL1167,RL1013,JPTL1167,PT0S
JPS36,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1168,JPSU2335,29,3438,JPSU2335,29,PTP,JPTL1168,JPSU2336,30,3264,JPSU2336,30,OTH,JPTL1168,RL1014,JPTL1168,PT1M
JPS36,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1169,JPSU2337,30,3264,JPSU2337,30,OTH,JPTL1169,JPSU2338,31,3453,JPSU2338,31,OTH,JPTL1169,RL1015,JPTL1169,PT1M
JPS36,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1170,JPSU2339,31,3453,JPSU2339,31,OTH,JPTL1170,JPSU2340,32,2948,JPSU2340,32,OTH,JPTL1170,RL1016,JPTL1170,PT1M
JPS36,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1171,JPSU2341,32,2948,JPSU2341,32,OTH,JPTL1171,JPSU2342,33,2865,JPSU2342,33,OTH,JPTL1171,RL1017,JPTL1171,PT1M
JPS36,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1172,JPSU2343,33,2865,JPSU2343,33,OTH,JPTL1172,JPSU2344,34,3987,JPSU2344,34,OTH,JPTL1172,RL1018,JPTL1172,PT0S
JPS36,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1173,JPSU2345,34,3987,JPSU2345,34,OTH,JPTL1173,JPSU2346,35,2378,JPSU2346,35,PTP,JPTL1173,RL1019,JPTL1173,PT1M
JPS36,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1174,JPSU2347,35,2378,JPSU2347,35,PTP,JPTL1174,JPSU2348,36,3525,JPSU2348,36,OTH,JPTL1174,RL1020,JPTL1174,PT0S
JPS36,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1175,JPSU2349,36,3525,JPSU2349,36,OTH,JPTL1175,JPSU2350,37,2385,JPSU2350,37,OTH,JPTL1175,RL1021,JPTL1175,PT1M
JPS36,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1176,JPSU2351,37,2385,JPSU2351,37,OTH,JPTL1176,JPSU2352,38,3797,JPSU2352,38,OTH,JPTL1176,RL1022,JPTL1176,PT1M
JPS36,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1177,JPSU2353,38,3797,JPSU2353,38,OTH,JPTL1177,JPSU2354,39,3436,JPSU2354,39,OTH,JPTL1177,RL1023,JPTL1177,PT0S
JPS36,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1178,JPSU2355,39,3436,JPSU2355,39,OTH,JPTL1178,JPSU2356,40,2767,JPSU2356,40,OTH,JPTL1178,RL1024,JPTL1178,PT1M
JPS36,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1179,JPSU2357,40,2767,JPSU2357,40,OTH,JPTL1179,JPSU2358,41,3739,JPSU2358,41,OTH,JPTL1179,RL1025,JPTL1179,PT1M
JPS36,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1180,JPSU2359,41,3739,JPSU2359,41,OTH,JPTL1180,JPSU2360,42,2632,JPSU2360,42,PTP,JPTL1180,RL1026,JPTL1180,PT1M
JPS36,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1181,JPSU2361,42,2632,JPSU2361,42,PTP,JPTL1181,JPSU2362,43,2394,JPSU2362,43,OTH,JPTL1181,RL1027,JPTL1181,PT1M
JPS36,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1182,JPSU2363,43,2394,JPSU2363,43,OTH,JPTL1182,JPSU2364,44,2829,JPSU2364,44,OTH,JPTL1182,RL1028,JPTL1182,PT2M
JPS36,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1183,JPSU2365,44,2829,JPSU2365,44,OTH,JPTL1183,JPSU2366,45,2789,JPSU2366,45,OTH,JPTL1183,RL1029,JPTL1183,PT5M
JPS36,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1184,JPSU2367,45,2789,JPSU2367,45,OTH,JPTL1184,JPSU2368,46,2594,JPSU2368,46,OTH,JPTL1184,RL1030,JPTL1184,PT1M
JPS36,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1185,JPSU2369,46,2594,JPSU2369,46,OTH,JPTL1185,JPSU2370,47,2465,JPSU2370,47,PTP,JPTL1185,RL1031,JPTL1185,PT3M
JPS37,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1186,JPSU2371,6,2736,JPSU2371,6,PTP,JPTL1186,JPSU2372,12,3543,JPSU2372,12,PTP,JPTL1186,RL996,JPTL1186,PT3M
JPS37,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1187,JPSU2373,12,3543,JPSU2373,12,PTP,JPTL1187,JPSU2374,13,3432,JPSU2374,13,OTH,JPTL1187,RL997,JPTL1187,PT0S
JPS37,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1188,JPSU2375,13,3432,JPSU2375,13,OTH,JPTL1188,JPSU2376,14,3826,JPSU2376,14,PTP,JPTL1188,RL998,JPTL1188,PT2M
JPS37,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1189,JPSU2377,14,3826,JPSU2377,14,PTP,JPTL1189,JPSU2378,15,2878,JPSU2378,15,OTH,JPTL1189,RL999,JPTL1189,PT0S
JPS37,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1190,JPSU2379,15,2878,JPSU2379,15,OTH,JPTL1190,JPSU2380,16,3673,JPSU2380,16,OTH,JPTL1190,RL1000,JPTL1190,PT0S
JPS37,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1191,JPSU2381,16,3673,JPSU2381,16,OTH,JPTL1191,JPSU2382,17,2927,JPSU2382,17,OTH,JPTL1191,RL1001,JPTL1191,PT1M
JPS37,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1192,JPSU2383,17,2927,JPSU2383,17,OTH,JPTL1192,JPSU2384,18,2859,JPSU2384,18,PTP,JPTL1192,RL1002,JPTL1192,PT1M
JPS37,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1193,JPSU2385,18,2859,JPSU2385,18,PTP,JPTL1193,JPSU2386,19,3475,JPSU2386,19,OTH,JPTL1193,RL1003,JPTL1193,PT0S
JPS37,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1194,JPSU2387,19,3475,JPSU2387,19,OTH,JPTL1194,JPSU2388,20,2562,JPSU2388,20,OTH,JPTL1194,RL1004,JPTL1194,PT1M
JPS37,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1195,JPSU2389,20,2562,JPSU2389,20,OTH,JPTL1195,JPSU2390,21,3879,JPSU2390,21,OTH,JPTL1195,RL1005,JPTL1195,PT0S
JPS37,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1196,JPSU2391,21,3879,JPSU2391,21,OTH,JPTL1196,JPSU2392,22,3835,JPSU2392,22,PTP,JPTL1196,RL1006,JPTL1196,PT1M
JPS37,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1197,JPSU2393,22,3835,JPSU2393,22,PTP,JPTL1197,JPSU2394,23,3486,JPSU2394,23,OTH,JPTL1197,RL1007,JPTL1197,PT1M
JPS37,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1198,JPSU2395,23,3486,JPSU2395,23,OTH,JPTL1198,JPSU2396,24,3828,JPSU2396,24,OTH,JPTL1198,RL1008,JPTL1198,PT1M
JPS37,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1199,JPSU2397,24,3828,JPSU2397,24,OTH,JPTL1199,JPSU2398,25,3874,JPSU2398,25,OTH,JPTL1199,RL1009,JPTL1199,PT0S
JPS37,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1200,JPSU2399,25,3874,JPSU2399,25,OTH,JPTL1200,JPSU2400,26,4359,JPSU2400,26,OTH,JPTL1200,RL1010,JPTL1200,PT1M
JPS37,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1201,JPSU2401,26,4359,JPSU2401,26,OTH,JPTL1201,JPSU2402,27,2464,JPSU2402,27,PTP,JPTL1201,RL1011,JPTL1201,PT1M
JPS37,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1202,JPSU2403,27,2464,JPSU2403,27,PTP,JPTL1202,JPSU2404,28,2565,JPSU2404,28,OTH,JPTL1202,RL1012,JPTL1202,PT0S
JPS37,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1203,JPSU2405,28,2565,JPSU2405,28,OTH,JPTL1203,JPSU2406,29,3438,JPSU2406,29,PTP,JPTL1203,RL1013,JPTL1203,PT0S
JPS37,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1204,JPSU2407,29,3438,JPSU2407,29,PTP,JPTL1204,JPSU2408,30,3264,JPSU2408,30,OTH,JPTL1204,RL1014,JPTL1204,PT1M
JPS37,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1205,JPSU2409,30,3264,JPSU2409,30,OTH,JPTL1205,JPSU2410,31,3453,JPSU2410,31,OTH,JPTL1205,RL1015,JPTL1205,PT1M
JPS37,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1206,JPSU2411,31,3453,JPSU2411,31,OTH,JPTL1206,JPSU2412,32,2948,JPSU2412,32,OTH,JPTL1206,RL1016,JPTL1206,PT1M
JPS37,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1207,JPSU2413,32,2948,JPSU2413,32,OTH,JPTL1207,JPSU2414,33,2865,JPSU2414,33,OTH,JPTL1207,RL1017,JPTL1207,PT0S
JPS37,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1208,JPSU2415,33,2865,JPSU2415,33,OTH,JPTL1208,JPSU2416,34,3987,JPSU2416,34,OTH,JPTL1208,RL1018,JPTL1208,PT0S
JPS37,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1209,JPSU2417,34,3987,JPSU2417,34,OTH,JPTL1209,JPSU2418,35,2378,JPSU2418,35,PTP,JPTL1209,RL1019,JPTL1209,PT1M
JPS37,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL1210,JPSU2419,35,2378,JPSU2419,35,PTP,JPTL1210,JPSU2420,36,3525,JPSU2420,36,OTH,JPTL1210,RL1020,JPTL1210,PT1M
