section,DataSetId,JourmPatternSections_From_id,JourmPatternSections_From_StopPointRef_id,JourmPatternSections_From_StopPointRef_SequenceNumber,JourmPatternSections_From_StopPointRef,JourmPatternSections_From_TimingStatus_id,JourmPatternSections_From_TimingStatus_SequenceNumber,JourmPatternSections_From_TimingStatus,JourmPatternSections_To_id,JourmPatternSections_To_StopPointRef_id,JourmPatternSections_To_StopPointRef_SequenceNumber,JourmPatternSections_To_StopPointRef,JourmPatternSections_To_TimingStatus_id,JourmPatternSections_To_TimingStatus_SequenceNumber,JourmPatternSections_To_TimingStatus,JourmPatternSections_RouteLinkRef_id,JourmPatternSections_RouteLinkRef,JourmPatternSections_RunTime_id,JourmPatternSections_RunTime
JPS1,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL26,JPSU51,27,2526,JPSU51,27,OTH,JPTL26,JPSU52,28,3685,JPSU52,28,OTH,JPTL26,RL26,JPTL26,PT0S
JPS1,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL27,JPSU53,28,3685,JPSU53,28,OTH,JPTL27,JPSU54,29,2896,JPSU54,29,OTH,JPTL27,RL27,JPTL27,PT1M
JPS1,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL28,JPSU55,29,2896,JPSU55,29,OTH,JPTL28,JPSU56,30,2732,JPSU56,30,OTH,JPTL28,RL28,JPTL28,PT0S
JPS1,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL29,JPSU57,30,2732,JPSU57,30,OTH,JPTL29,JPSU58,31,3695,JPSU58,31,OTH,JPTL29,RL29,JPTL29,PT0S
JPS1,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL30,JPSU59,31,3695,JPSU59,31,OTH,JPTL30,JPSU60,32,2897,JPSU60,32,OTH,JPTL30,RL30,JPTL30,PT1M
JPS1,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL31,JPSU61,32,2897,JPSU61,32,OTH,JPTL31,JPSU62,33,2437,JPSU62,33,OTH,JPTL31,RL31,JPTL31,PT1M
JPS1,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL32,JPSU63,33,2437,JPSU63,33,OTH,JPTL32,JPSU64,34,3292,JPSU64,34,OTH,JPTL32,RL32,JPTL32,PT1M
JPS1,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL33,JPSU65,34,3292,JPSU65,34,OTH,JPTL33,JPSU66,35,4387,JPSU66,35,OTH,JPTL33,RL33,JPTL33,PT0S
JPS1,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL34,JPSU67,35,4387,JPSU67,35,OTH,JPTL34,JPSU68,36,3952,JPSU68,36,OTH,JPTL34,RL34,JPTL34,PT1M
JPS1,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL35,JPSU69,36,3952,JPSU69,36,OTH,JPTL35,JPSU70,37,2747,JPSU70,37,PTP,JPTL35,RL35,JPTL35,PT1M
